category,subject,rank,brand_id,brand_name,order_counts
rank_count,EN,1,3553,대치동시크릿,2219
rank_count,EN,2,987,부교재나라,2193
rank_count,EN,3,270,변형문제스토어,851
rank_count,EN,4,955,이클라우드,580
rank_count,EN,5,115119,한양클래스,561
rank_count,EN,6,1012,메이플북스,526
rank_count,EN,7,926,와츄노,451
rank_count,EN,8,9318,시드 잉글리쉬,405
rank_count,EN,9,4578,이현우 대치메타,371
rank_count,EN,10,5508,노유기,354
rank_count,EN,11,26393,아스트룸,222
rank_count,EN,12,1429,최상위 영어,210
rank_count,EN,13,2248,조이너스,207
rank_count,EN,14,15922,이것영어,199
rank_count,EN,15,77318,에셋 영어,197
rank_count,EN,16,924,하박영어,195
rank_count,EN,17,1143,투하트 영어카페,188
rank_count,EN,18,12672,시에나영어연구소,175
rank_count,EN,19,210,단지,166
rank_count,EN,20,79529,이쌤문제은행,157
rank_count,EN,21,1196,수능영어크루,149
rank_count,EN,22,219,고미조슈아,127
rank_count,EN,23,298,지이다영어교실,121
rank_count,EN,24,107842,지영랩,119
rank_count,EN,25,71115,김신조,115
rank_count,EN,26,32219,에이펙스,114
rank_count,EN,27,7414,올인올영어,102
rank_count,EN,28,12662,모자이크,94
rank_count,EN,29,14340,대치 플레온,93
rank_count,EN,30,12475,빌드업 1등급 변형문제연구소,92
rank_count,KO,1,131864,소담국어,420
rank_count,KO,2,132780,자유로국어,351
rank_count,KO,3,15681,써머썬 연구소,334
rank_count,KO,4,85652,맥국어연구소,330
rank_count,KO,5,78522,든든한 국어,297
rank_count,KO,6,26726,슬기로운 국어,175
rank_count,KO,7,124954,희연,129
rank_count,KO,8,169329,한백 국어,129
rank_count,KO,9,26741,달콤한 국어,119
rank_count,KO,10,25277,현존재쌤,109
rank_count,KO,11,116609,장미국어,102
rank_count,KO,12,182299,국어를 찾는 사람들,92
rank_count,KO,13,4673,국지평,90
rank_count,KO,14,78020,사계샘,85
rank_count,KO,15,47014,장박사 국어,80
rank_count,KO,16,131883,아침가지 국어,75
rank_count,KO,17,82348,두루정쌤,62
rank_count,KO,18,28086,공부천재 김선생,60
rank_count,KO,19,80973,기본이 강한 국어,50
rank_count,KO,20,77762,솔빛국어연구소,42
rank_count,KO,21,73858,상상초월,40
rank_count,KO,22,27206,이다국어,32
rank_count,KO,23,26796,청어람,27
rank_count,KO,24,25613,시나브로2951,25
rank_count,KO,25,125333,큰길국어,24
rank_count,KO,26,139106,옹달샘 국어,22
rank_count,KO,27,30135,웅샘,22
rank_count,KO,28,28593,위너키,21
rank_count,KO,29,59433,국어의 감각,21
rank_count,KO,30,54182,더함,20
